ID,txt,Label
10,"Tony Arzenta, a Sicilian hit-man or professional killer, decides to leave the business, and his former employers do not agree.In terms of content, this highly enjoyable action movie doesn't have one; in terms of sheer amusement, it is funit is very melodramatic, violent, quite brutal, the car chases are notable. ""Arzenta"" is an unpretentious ,yet very likable filmmuch better than the current Hollywoodian trash that gets the same label. It comes from Delon's rather short flirting with the Italian B cinema of the '70s. It carefully uses Delon's tough guy persona, belonging to the gallery of bad-ass thugs that he made in his youth. <br /><br />I enjoyed very much the fact that Delon made this film, that he had a role in a good Eurocrime flick.<br /><br />The score is very fine, with a good introductory songmaking felt that gusto that the Italians had for the film considered as a synthetic work,where the musical art has an important part.<br /><br />In Tony Arzenta/ Big Guns/ No Way Out the very appealing Erika Blanc (31 years in '73) appears as an unnamed hooker.Meanwhile, Arzenta's girlfriend, Sandra,is played by Carla Gravina (a starlet that practically left the movies after '75).<br /><br />""Arzenta"" is interestingly filmedan ambitious visual conception, some Expressionistic peculiar angles. The movie was directed by the prolific Duccio Tessari,the one who made also Zorro (the Delon comedy).Needless to mention that these two films,Tony Arzenta (1973) and Zorro ,are very unlike.The first one is a bloody melodramatic violent action movie--the second is a lighthearted comedy,more kindred to a spoof,though remarkably coherent and skilfully made.Duccio Tessari directed films like Kiss Kiss... Bang Bang (1966),Sons of Satan ,The Bloodstained Butterfly ,¡Viva La Muerte... Tua! ,Tough Guys (1974),Safari Express (1976) ,etc..",1
11,"This movie is very great! The acting is fine, with excellent casting of Corbin Bernsen as the perfectionistic dentist who freaks out and tortures his patients. In the beginning he sees his wife with the poolman, and then he goes crazy. He also takes revenge on his wife and the poolman, beside the patients he tortures. The most special effects are also beautiful, although some are really fake (like a drilled-out tongue, that has laid for 1 night outside, and is still red in the morning). But the torture scenes are absolutely well-done. Though this movie has the weak point that it is very slow; between the heavy parts are sometimes just extremiously boring parts. But for the real horror/thriller-fan this is a must-watch!",1
12,"Just get it. The DVD is cheap and easy to come by, the length is now standard and you've gone long enough without it. (When home video started, there were at LEAST three versions with parts missing..) Everything you've read is true. There is no defending it, and no living without it. The color is lush and wonderful to look at, and the production values are pretty good for a Saturday afternoon kiddie epic. But no question..the whole Santa Vs. Satan angle is so jaw dropping STRANGE it made the movie a hit at the time and a cult fave once home video really got underway. How good/bad/strange/ is it? I only saw the TRAILER as a kid,and remembered IT for nearly 30 years..including Murray's over the top voice over..I told my older sister, and she called me a liar and could not believe it was POSSIBLE for ANYONE to make a movie where Santa vs.Satan.. Add to it stuff like Santa asking for the Virgin Mary's blessing before setting off on Christmas eve, kids wanting to capture him and make him their SLAVE..and an international kiddie sweat shop..and it probably comes close to a lot of nightmares kids had in the 60's.. Like others here, I watch the thing every holiday season now. (My version of choice is The Mystery Science Theatre 3000 edition). But any old way you choose it, the movie is a demented masterpiece and a total must (along with Brianiac, by the way..).It never fails to make me laugh. Better, I think, then SANTA CLAUS CONQUERS THE MARTIANS. Parts of it can still make you cringe or just creep you out.(How many parents do YOU know go out for cocktails on Christmas Eve? ""If you get bored, just go downstairs and play the piano."" DANG..) Freaky, boring, disturbing, funny, childish, strange..hey, what more can you want?",1
13,"Nope, I am just not going to get with it here. I refuse to go along with the program. Don't you supposed that perhaps this movie is just a tad over-rated? Look at the reader comments and their star ratings: Most are 6/10, 7/10 or better. I think this is an instance when the ratings may say more about the people rendering them than the movie itself, which is unique. How many other sex fantasies about simulated bestiality complete with horse couplings have become mainstream hits as catalog DVD titles? I watched this movie with a pervading sense of anticipation, expecting fireworks, and instead got someone popping a Gucci shopping bag. It looked great, but once the thrill had been spent even the twist ending didn't do much to save it.<br /><br />The film's background story says it all: Director films about 25 minutes of borderline hardcore fake bestial sex for another movie, is informed the footage will not be appropriate, sets it aside, waits two or three years for a smattering of critical acclaim to build up, then constructs an entire feature around that 25 minutes, filming roughly 70 minutes of otherwise unrelated, excruciatingly boring footage and inserting the 25 minute chunk in as a dream sequence. That the 25 minutes of film in question is strikingly odd, original and shocking in a deliberate, calculated manner goes without saying. But we aren't here to evaluate that 25 minutes alone, we must consider the entire film, and ask ourselves why people are so enthusiastic about the movie? Or are they just enamored by it's background story and history of having been banned by people who were stupid enough to be offended by it?<br /><br />Perhaps it is an anti-clerical agenda that appeals to them. Hating the western religions of catholicism and Christianity is one of the few remaining socially acceptable bastions of intolerance -- Just today it was revealed that the BBC routinely skews their broadcasts with anti Christian & anti Western sentiment in the furtherance of political correctness. You can say anything you want about the Bible, pedopheliac priests, the institutionalized cruelty of the church, and how much white men and their inhuman religions suck the dimpled skin off a golf ball ... But say one negative thing about non-westernized religions, and you are toast. This movie was tailor made for such a sentiment, with a wrinkly old dried up priest who has an entirely unwholesome on screen relationship with two pretty 14 year old French boys complete with inappropriate touching, fawning, fondling, fumbling, groping, and patting of the backsides. Ewww.<br /><br />And then there is the horse couplings, photographed in such fetishistic closeup detail that portions of the film could be used as visual aids for a biology class on animal husbandry. Yes I understand the thematic relevance of the imagery -- large animal phallus's with a wealth of reproductive fluids just waiting to be unleashed like fire extinguishers -- but if I wanted to watch horses, you know, do it, I would like go live on a farm. Having their genitals in my face is about as entertaining as watching someone use a bathroom.<br /><br />Is this movie just a sort of artsy diversion for social deviants? Probably, though I will grant the artistic execution of most of it, filmed in a kind of arty Euro detail that even has a dappled forest pond right out of a Monet painting, complete with a spanning arched bridge. And the ending (which even I managed to be surprised by) does sort of wrap it all up into a neat if distasteful package. But you have to remember that there are certain things that cannot be deconstructed for their design elements and many artists are guilty for exploiting them in their work to lend a sort of gravitas that would not have been achieved without it. That isn't fair, and even Clint Eastwood has fallen prey to the urge with his new movie about Iwo Jima. Whether or not his film is any good stands as a separate consideration from whether or not that battle was a noble cause fought by men who were heroes. The problem is that most people will not be able to separate out the two aspects of the movie and will be lining up to give it Oscars because of it's noble message -- not because it is a particularly good or original movie.<br /><br />While it may seem like an odd parallel, I see one with THE BEAST: How can anyone not see the basic beauty of nature in the sight of two horses mating? And who cannot see the logical culmination of the repressed sexuality from fairy tales in the film's explosive set-piece where Beauty and the Beast finally do the nasty? Somehow I managed to miss both points, and am delighted that I have seen this film so that I can trash it as being what it really is: 25 minutes or so of eye opening over the top adult fairy tale imagery surrounded by 70 minutes of skull drainingly boring artsy-fartsy Euro Trash dreck about some guy getting a haircut, and a great ending. It's art for sure, but it sucks hard.<br /><br />3/10",0
14,"If I write a review about a movie, maybe it will stick with me... but generally I expect that I will have forgotten I've seen this one a mere two weeks from now. So why bother? Because again I find myself watching a low-rated movie that was fun to watch. I didn't expect I'd to be able to stay in the room while it was on.<br /><br />It wasn't great, but at least it was not unbearable... not a comedy of errors which always makes me cringe. It was just sweet fluff... and if you can't take it, stay in the locker room boys. I agree with those who defend this movie because it is sure to please its targeted demographic, and won't be a total bore to an adult.<br /><br />It offers a few good chuckles here and there, but nary a side splitter. Sure it is silly and only mildly entertaining, but at least it doesn't suck (as so many have said it does). Maybe those folks are afraid of their sensitive sides? <br /><br />I have a tendency to grade on the bell curve, so a 4,5 or 6 is actually an okay all-around rating in my book. Giving it a 4 makes sense and will bolster its rating at the time of this writing. Giving it a 1 or a 10, as most have done thus far, makes the rating numbers meaningless. I cannot believe how strongly people feel one way or the other about this forgettable fluff (or that I am even bothering to write about it). Am I missing something? <br /><br />Anyway, it should be noted that Emma Roberts performs her role as Clairedycat quite convincingly. Ariell Kebbel often written into b*ch roles does not disappoint when her character gets her due. You might also recognize Bruce Spence playing Leonard, though his role is ancillary.<br /><br />Surely you can miss this one if you are an adult. But, if there is a pre-teen girl in your life, rent this movie for her... and be prepared NOT to hate it (you might even enjoy it).",0
15,"I'm going to spend as much time on this review as the writers did on the script. This is easily THE WORST sequel EVER made.<br /><br />They KILLED Navin Johnson. Not only was Mark Blankfield's performance GOD-AWFUL, so was everyone elses!! The physical comedy was forced, flat and predictable. The script seemed to have been written by mongoloid monkeys using the pen names Ziggy Steinberg and Rocco Urbisci. How the producers managed to squeeze out such vile cinematic excrement is beyond me. They even managed to make veteran actor Ray Walston look like a talent-less buffoon. Director Michael Schultz should be ashamed of himself.<br /><br />I want the 96 minutes of my life I spent watching this befouled memory of a brilliant comedy back so I can try and convict everyone involved for this cinematic atrocity.",0
16,"The genre of suspense films really takes a dive in this one. The big problem is IMPLAUSABILITY. I realize that you need to create difficult situations which would cause suspense and the tense feeling of whats going to happen next, but this movie was so predictable, and is just not believable. I find that the more I watch this kind of movie, the more I am continually saying things to actors to direct them away from danger. Continually making bad decisions just borders on being plain stupid. If they took the time to make it more realistic, I might have enjoyed it a little. Having said that, you might be better off staying away from this one.",0
17,"Fido is a cute comedy that deserves wider recognition, especially considering the mainstream crap that is supposed to entertain us these days.<br /><br />As has already been pointed out, this is hardly a real zombie film, but rather a sweet satire that employs the undead to point fingers. While there are necessarily some bloody scenes, there is almost no gore and the way this movie is presented (feel-good 50s style), I can't imagine anyone being actually scared or turned off by Fido & his fellow sufferers.<br /><br />While the cast is generally good, I felt that Moss and Nelson stood out. The humor is not in-your-face, but rather subdued; there's a lot of attention to detail and I caught myself smiling benignly several throughout the movie. This is certainly no masterpiece of cinema, but it doesn't strive to be - instead, Currie succeeds in delivering a heart-warming black comedy.",1
18,"Just another film that exploits gratuitous frontal male nudity; awful acting, plus, the lovemaking scenes are the most un-sexy I've ever seen (and this is not about me not linking the idea of two young men making love, since I'm gay).<br /><br />Again, as in Mil nubes de paz, Julian Hernandez directed an incredibly pretentious film with a story that makes enough argument for a short film of about five minutes but manages to make a 2 hour film with it... And this time, there isn't even the issue of racism and commodification in the Mexican gay community to talk about! God gracious have mercy on us!",0
19,"I became more emotionally attached to this movie than any other I have ever watched. That may be because I can see the characters as my own grandparents, attempting to make sense of a world at war. The ending and use of Pachabel's Cannon are both amazing.",1
20,"This is the best film version of Dicken's classic tale. I've seen it over and over on VHS, and recently acquired the DVD version, which is formatted for TV (not wide-screen). What I find interesting about this teleplay is the cast of English actors who are now recognizable since many have appeared in other films/shows in North America since 1984. My biggest surprise is Edward Woodward, ""the Equalizer"", as the Ghost of Christmas Present.",1
21,"Without ""mental anachronism"", this film which I would like to find in DVD offer an extraordinary diving in the vital and mental context of thought of the people before the ""disenchantment of the world"". That, there is thirty years, a director and a scenario writer could test one such empathy and such a romantic truth to do it of them masterpiece leaves me astounding. It would be necessary to be able to see and re-examine it film for better seizing than the temporal and cultural distance us to make lose of capacity to be included/understood, analyze and finally to accept of such or such example of ""primitive thought"". Because this thought maintaining almost impossible to feel in the secularized world however contain certain keys of our behavior, that only them future generations will be able to analyze with sufficient relevance. If somebody knows where I then to get a numerical copy or VHS to me or DVD thank you in advance.",1
22,"When the movie was released it was the biggest hit and it soon became the Blockbuster. But honestly the movie is a ridiculous watch with a plot which glorifies a loser. The movie has a Tag-line - ""Preeti Madhura, Tyaga Amara"" which means Love's Sweet but Sacrifice is Immortal. In the movie the hero of the movie (Ganesh) sacrifices his love for the leading lady (Pooja Gandhi) even though the two loved each other! His justification is the meaning of the tag-line. This movie influenced so many young broken hearts that they found this ""Loser-like Sacrificial"" attitude very thoughtful and hence became the cult movie it is, when they could have moved on with their lives. Ganesh's acting in the movie is Amateurish, Crass and Childishly stupid. He actually looks funny in a song, (Onde Ondu Sari... )when he's supposed to look all stylish and cool. His looks don't help the leading role either. His hair style is badly done in most part of the movie. POOJA GANDHI CANT ACT. Her costumes are horrendous in the movie and very inconsistent. <br /><br />The good part about the movie is the excellent cinematography and brilliant music by Mano Murthy which are actually the true saving graces of the movie. Also the lyrics by Jayant Kaikini are very well penned. The Director Yograj Bhat has to be lauded picturization the songs in a tasteful manner. <br /><br />Anyway all-in-all except for the songs, the movie is a very ordinary one!!!!!!",0
23,Kurt Thomas in one of the series of gymnast olympic stars turned movie stars movies that mercifully only includes one other..Mitch Gaylord in American Anthem...at least that one had Janet Jones..this one has...um... a gymnast using his martial arts and his gymnastic skills to save a european country from dictatorship..sure it could happen.. on a scale of one to ten.. a 0,0
24,"As a Mystery Science Theatre 3000 fan, I can withstand ANY motion picture that can be foisted upon me, but there is absolutely no reason for this.<br /><br />Rated ""Super Action"" in the Blockbuster Video section and given the dreaded ""Restricted Viewing Sticker"" I'm assuming these are the only methods that film maker (HA!) Robert Napton could use to get at least 4.50 from one unsuspecting person.<br /><br />Shame on you Robert Napton! Shame on you for exploiting these poor Mexican actors who you probably promised hopes for making it big in American cinema. You are a disgrace!<br /><br />There isn't one moment in this movie that holds the slightest bit of action. Did you use snot on these people? Oh, look, they're having a rave in a field! Like all 6 of them. And isn't that an Asian guy in the background? Why is it always daytime? Why did it take 1/2 of the movie to show anything.. and more importantly why did we watch the other 1/2?<br /><br />PS: You owe me 4.50.",0
25,"Sloppily directed, witless comedy that supposedly spoofs the ""classic"" 50s ""alien invasion"" films, but really is no better than them, except of course in the purely technical department (good makeup effects). And any spoof that is worse than its target is doomed to fail (""Casino Royale"", ""Our Man Flint"" are worse than almost any James Bond movie). After two hours of hearing the screeching voices of the aliens, you'll be begging for some peace and quiet. (*1/2)",0
26,"In A Woman Under the Influence Mabel goes crazy, but I can see why she does go crazy. If I lived the kind of life she lived with the family she has I would go crazy too. Everyone in her family is off their rocker and not completely with it. She is constantly surrounded by people yelling at her and telling her what is best for herself and people that aren't the sharpest knifes in the drawer.<br /><br />To start with the one person closest to her in her life, her husband, Nick, is a little off his rocker. He is always yelling at her when he is home telling her how to live her life and to stop acting like an imbecile. The rest of the time he is working long hours at his job and he isn't there to support her when she needs support. The one person in her life that should always be there for her is never there and if he is, he is just making her feel worse. She relies on him for support and always goes to him first when she feels she is acting wrong and he does nothing to support her. When she comes home from the hospital all he does is tell her how to act, instead of comforting her, he just yells at her and tells her what to do.<br /><br />The other major people in her life are her parents. Her parents do nothing in her life for her. Mabel basically runs their lives because they are afraid to stand up to her and stand up for her. In the end she even asks her father to stand up for her and he doesn't understand, and when he does get it he still does nothing. They do nothing to help Mabel recover or to keep her from going crazy because they do nothing for her period. The only person that tries to do something for her is Nick's mom. Nick's mom is adamant about having Mabel committed. She doesn't want to have Nick deal with it so she has the doctor commit her. It seems as though everyone is against Mabel and they feel that having her committed is a good idea because then they won't have to deal with it anymore. They all want to live their own lives and do nothing for Mabel except for yell at her and make her feel like she is doing something wrong when she really isn't. That is why she went crazy, and why she had to be committed, it was her family's entire fault.",0
27,"This film is so old I never realized how young looking Ray Milland looked in 1936, I remember him playing in a great film, ""Lost Weekend"". Ray plays the role of Michael Stuart, who is a very rich banker. There are three girls in this picture who are not very happy about their father and mother separating and they find out their father is going to get married to a young blonde who is a gold digger only looking for a rich sugar daddy. They hire a man to pose as a very rich Count, his name is Count Ariszted, (Misha Auer) who is drunk all the time and is penniless and gives plenty of comic laughs throughout the picture. Deanna Durbin, (Penny Craig) surprised everyone when she was booked in a police station and told the chief of police that she was an opera star and then Penny starts singing with the most fantastic soprano voice I have every heard, the entire police department and convicts started applauding, which was a very entertaining and enjoyable scene from this film. This is Deanna Durbin's first film debut and she became an instant success over night and went on to become a great movie star with Universal Studios after leaving MGM.",1
28,"I just saw this cartoon for the first time and recognized the caricatures of famous black entertainers... Cab Calloway, Bessie Smith, (not Josephine Baker or Sophie Tucker, who was white), Thomas ""Fats"" Waller, Bill ""Bojangles"" Robinson, Stepin Fetchit (notwithstanding) Louis Armstrong and the chorus girls are out of the famed ""Cotton Club"" in Harlem. True... stereotypes are there, but this was the way it was... and these cartoons were meant as adult entertainment at your local cinema before the main feature. <br /><br />Harmann & Ising cartoons tended to be more ""cutesy"" and more upscale, (after all... we are talking about M-G-M) than the standard animated short done over at Warners, Paramount, Universal, Fox, RKO or lowly Columbia. Even Disney's very early Mickey Mouse had loads of barnyard humor before Uncle Walt cleaned him up just before he went ""Technicolor"".<br /><br />Disney had some cartoons with caricatures of black entertainers as well... for example, 1937's Silly Symphony ""Woodland Cafe"". But we have to remember that these films are part of a certain time and place. 50 years from now... clips of the Simpsons, Family Guy, and South Park will be also scrutinized, analyzed... and even vilified by future viewers.",1
